source_file,p1,p2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_rbc_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/rbc_int.rbc_int.sumstats.gz,NA,NA,NA,NA,-2.9982,16.836,1.061,0.4035,0.1019,0.0099
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_sbp_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/sbp_int.sbp_int.sumstats.gz,NA,NA,NA,NA,1.105,0.446,0.9865,0.0129,0.0335,0.01
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_smoke_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/smoke_int.smoke_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_triglycerides_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/triglycerides_int.triglycerides_int.sumstats.gz,NA,NA,NA,NA,0.5145,0.4428,1.0016,0.0126,0.1199,0.0108
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/ast_wbc_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/wbc_int.wbc_int.sumstats.gz,NA,NA,NA,NA,-0.9144,0.5375,1.0344,0.0121,-0.0128,0.0092
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_alt_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/alt_int.alt_int.sumstats.gz,NA,NA,NA,NA,-1.029,0.5813,1.0274,0.0133,0.2828,0.0088
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_creatinine_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/creatinine_int.creatinine_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_dbp_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/dbp_int.dbp_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_drink_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/drink_int.drink_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_eos_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/eos_int.eos_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_glucose_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/glucose_int.glucose_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_hb_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/hb_int.hb_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_hdl_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/hdl_int.hdl_int.sumstats.gz,NA,NA,NA,NA,-0.4632,0.4337,1.0215,0.0125,-0.3146,0.0106
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_height_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/height_int.height_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_ldl_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ldl_int.ldl_int.sumstats.gz,NA,NA,NA,NA,-0.2165,0.4622,1.0063,0.0155,0.179,0.0098
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_mono_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/mono_int.mono_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_plt_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/plt_int.plt_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_rbc_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/rbc_int.rbc_int.sumstats.gz,NA,NA,NA,NA,-2.9982,16.836,1.061,0.4035,0.1768,0.0093
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_sbp_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/sbp_int.sbp_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_smoke_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/smoke_int.smoke_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_triglycerides_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/triglycerides_int.triglycerides_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bmi_wbc_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/wbc_int.wbc_int.sumstats.gz,NA,NA,NA,NA,-0.9144,0.5375,1.0344,0.0121,0.2629,0.0097
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_alt_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/alt_int.alt_int.sumstats.gz,NA,NA,NA,NA,-1.029,0.5813,1.0274,0.0133,0.0789,0.0099
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_bmi_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_creatinine_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/creatinine_int.creatinine_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_dbp_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/dbp_int.dbp_int.sumstats.gz,-0.1013,0.8629,-0.1174,0.9065,0.8552,0.4356,0.9885,0.0124,0.0422,0.0093
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_drink_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/drink_int.drink_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_eos_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/eos_int.eos_int.sumstats.gz,0.5041,2.4151,0.2087,0.8347,0.2431,0.769,0.9983,0.0187,0.0324,0.0094
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_glucose_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/glucose_int.glucose_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_hb_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/hb_int.hb_int.sumstats.gz,5.727,12.4702,0.4593,0.6461,0.2042,0.5233,0.9988,0.013,-0.0011,0.0101
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_hdl_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/hdl_int.hdl_int.sumstats.gz,NA,NA,NA,NA,-0.4632,0.4337,1.0215,0.0125,0.0652,0.01
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_height_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/height_int.height_int.sumstats.gz,2.4666,4.4566,0.5535,0.5799,0.3614,0.5811,0.9933,0.015,-0.035,0.0092
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_ldl_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ldl_int.ldl_int.sumstats.gz,NA,NA,NA,NA,-0.2165,0.4622,1.0063,0.0155,0.0607,0.0091
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_mono_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/mono_int.mono_int.sumstats.gz,-1.6385,4.6835,-0.3498,0.7265,0.1729,0.5328,1.0104,0.0139,0.011,0.0099
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_neut_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/neut_int.neut_int.sumstats.gz,NA,NA,NA,NA,-0.7117,0.543,1.028,0.0122,-0.0332,0.0096
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_plt_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/plt_int.plt_int.sumstats.gz,-1.4157,2.4641,-0.5745,0.5656,0.4666,0.5916,1.0,0.0142,-0.0043,0.0095
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_rbc_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/rbc_int.rbc_int.sumstats.gz,NA,NA,NA,NA,-2.9982,16.836,1.061,0.4035,-0.0147,0.01
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_sbp_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/sbp_int.sbp_int.sumstats.gz,0.1177,0.7866,0.1496,0.8811,1.105,0.446,0.9865,0.0129,0.0536,0.0097
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_smoke_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/smoke_int.smoke_int.sumstats.gz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_triglycerides_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/triglycerides_int.triglycerides_int.sumstats.gz,0.1758,1.2293,0.143,0.8863,0.5145,0.4428,1.0016,0.0126,-0.069,0.0092
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/bun_wbc_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/wbc_int.wbc_int.sumstats.gz,NA,NA,NA,NA,-0.9144,0.5375,1.0344,0.0121,-0.0014,0.0096
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/cholesterol_alt_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/cholesterol_int.cholesterol_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/alt_int.alt_int.sumstats.gz,NA,NA,NA,NA,-1.029,0.5813,1.0274,0.0133,0.1029,0.009
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/cholesterol_ast_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/cholesterol_int.cholesterol_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/ast_int.ast_int.sumstats.gz,NA,NA,NA,NA,-0.8224,0.5602,1.016,0.0134,0.0995,0.0097
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/cholesterol_bmi_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/cholesterol_int.cholesterol_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bmi_int.bmi_int.sumstats.gz,NA,NA,NA,NA,0.0417,0.5059,1.0069,0.0132,0.079,0.01
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/cholesterol_bun_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/cholesterol_int.cholesterol_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/bun_int.bun_int.sumstats.gz,NA,NA,NA,NA,0.2288,0.531,1.0066,0.0132,0.0828,0.0096
/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/corr/cholesterol_creatinine_corr.log,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/cholesterol_int.cholesterol_int.sumstats.gz,/data1/jiapl_group/lishuhua/project/PRS_benchmark/real_data/CAS/gwas/munged/creatinine_int.creatinine_int.sumstats.gz,NA,NA,NA,NA,0.0621,0.5271,1.0078,0.0149,0.0658,0.0092
